date,gross_return,transaction_cost,net_return,turnover,long_contribution,short_contribution,long_exposure,short_exposure,gross_exposure,cumulative_gross,cumulative_net,drawdown
2023-02-02,-0.0058153267552819195,0.0,-0.0058153267552819195,0.0,0.003350079595134492,-0.00916540635041641,0.49999999999999994,-0.5,0.9999999999999999,-0.22889713495417696,-0.2498005164345528,-0.2602855984421877
2023-02-03,-0.00022603679969068692,0.0006071428571428571,-0.000833179656833544,1.2142857142857142,0.0019924395136969174,-0.0022184763133876037,0.5,-0.5,1.0,-0.2290714325780242,-0.2504255673828265,-0.2609019134334324
2023-02-06,-0.0033058187310760303,0.0,-0.0033058187310760303,0.0,-0.007575108260932862,0.004269289529856831,0.5,-0.5,1.0,-0.2316199826765294,-0.2529035245825081,-0.2633452377321066
2023-02-07,-0.0056874124332458,0.0,-0.0056874124332458,0.0,0.0023834732226166813,-0.008070885655862482,0.5,-0.5,1.0,-0.23599007674051253,-0.25715257036563166,-0.26753489718603873
2023-02-08,0.0002512796481302041,0.0,0.0002512796481302041,0.0,-0.00635313850016586,0.006604418148296064,0.5,-0.5,1.0,-0.23579809659582796,-0.2569659079248987,-0.267350843612736
2023-02-09,-0.004585642749241531,0.0,-0.004585642749241531,0.0,-0.012714224088158279,0.008128581338916748,0.5,-0.5,1.0,-0.23930245351312984,-0.26037319682166216,-0.2707105109044612
2023-02-10,-0.0018081019653736984,0.0,-0.0018081019653736984,0.0,0.00017599333478519603,-0.0019840953001588947,0.5,-0.5,1.0,-0.24067787224198778,-0.261710517498132,-0.2720291406630213
2023-02-13,0.003285619296591687,0.0,0.003285619296591687,0.0,0.006627158942074208,-0.003341539645482521,0.5,-0.5,1.0,-0.23818302880669695,-0.25928477932795313,-0.26963730556022725
2023-02-14,0.006584294068822344,0.0,0.006584294068822344,0.0,0.00801459683034022,-0.0014303027615178779,0.5,-0.5,1.0,-0.23316700184174066,-0.2544076924937958,-0.26482838280313836
2023-02-15,0.002665436005054027,0.0,0.002665436005054027,0.0,0.01057690604500345,-0.007911470039949423,0.5,-0.5,1.0,-0.2311230575585862,-0.2524203639122775,-0.2628688299047681
2023-02-16,0.002370436194464182,0.0,0.002370436194464182,0.0,0.0026500183415280854,-0.000279582147063904,0.5,-0.5,1.0,-0.22930048382513424,-0.25064827408465085,-0.2611215074991067
2023-02-17,-0.004086472304931296,0.0,-0.004086472304931296,0.0,-0.003986896011778406,-9.957629315289132e-05,0.5,-0.5,1.0,-0.23244992605340675,-0.2537104791592564,-0.26414091399542095
2023-02-21,-0.002016138996925298,0.0,-0.002016138996925298,0.0,-0.012334752033122738,0.010318613036197438,0.5,-0.5,1.0,-0.23399741368958338,-0.25521510256522006,-0.26562450819495653
2023-02-22,-0.0001815030245556229,0.0,-0.0001815030245556229,0.0,0.0018194671659166803,-0.002000970190472303,0.5,-0.5,1.0,-0.23413644547581614,-0.2553502832767478,-0.2657577995678787
2023-02-23,0.00042519588787996536,0.0,0.00042519588787996536,0.0,-0.00230444178421786,0.0027296376720978245,0.5,-0.5,1.0,-0.2338108034417553,-0.25503366127928606,-0.265445602803547
2023-02-24,-0.0008282244615249327,0.0,-0.0008282244615249327,0.0,0.00190523404207383,-0.0027334585035987628,0.5,-0.5,1.0,-0.23444538007650106,-0.2556506606240273,-0.2660539787236258
2023-02-27,-0.0030971123987367922,0.0,-0.0030971123987367922,0.0,-0.0063976885104752735,0.0033005761117384826,0.5,-0.5,1.0,-0.23681638878177635,-0.2579559941920001,-0.26832709204612437
2023-02-28,0.0011147204429307494,0.0,0.0011147204429307494,0.0,0.0010630362252534915,5.168421767725716e-05,0.5,-0.5,1.0,-0.23596565240864176,-0.2571288225691717,-0.26751148129808955
2023-03-01,-0.0017564193944231222,0.0,-0.0017564193944231222,0.0,-0.0012288219870118062,-0.000527597407411316,0.5,-0.5,1.0,-0.23730761715475668,-0.25843361591276914,-0.2687980383385299
2023-03-02,-0.0010713549539415556,0.0,-0.0010713549539415556,0.0,0.00419992334338095,-0.005271278297322506,0.5,-0.5,1.0,-0.23812473141745139,-0.2592280967320375,-0.2695814151824877
2023-03-03,0.003425585641773703,0.0,0.003425585641773703,0.0,0.010413540158220158,-0.006987954516446456,0.5,-0.5,1.0,-0.2355148624365725,-0.2566905191363733,-0.2670793037658521
2023-03-06,0.001693085468485665,0.0005952380952380953,0.0010978473732475697,1.1904761904761905,-0.008159397576101561,0.009852483044587227,0.49999999999999994,-0.49999999999999994,0.9999999999999998,-0.2342205237592907,-0.25587447877529723,-0.26627466870469274
2023-03-07,0.0029401784804283177,0.0,0.0029401784804283177,0.0,-0.006077081582352292,0.00901726006278061,0.49999999999999994,-0.49999999999999994,0.9999999999999998,-0.23196899542249405,-0.25368661693105476,-0.264117385275073
2023-03-08,-0.0054506697064069225,0.0,-0.0054506697064069225,0.0,-0.003707049465208635,-0.0017436202411982875,0.49999999999999994,-0.49999999999999994,0.9999999999999998,-0.23615527875272602,-0.2577545246796348,-0.2681284383506257
2023-03-09,0.003084826658369734,0.0,0.003084826658369734,0.0,-0.009041403228590334,0.01212622988696007,0.49999999999999994,-0.49999999999999994,0.9999999999999998,-0.2337989501937674,-0.25546482605031207,-0.26587074144674694
2023-03-10,0.0008451427801573989,0.0,0.0008451427801573989,0.0,-0.014090945085310927,0.014936087865468326,0.49999999999999994,-0.49999999999999994,0.9999999999999998,-0.2331514009083746,-0.25483558752347524,-0.26525029740417827
2023-03-13,7.73397970862174e-06,0.0,7.73397970862174e-06,0.0,0.0029565380535274866,-0.002948804073818863,0.49999999999999994,-0.49999999999999994,0.9999999999999998,-0.2331454701168696,-0.2548298244370295,-0.2652446148648875
2023-03-14,0.0015033080145911886,0.0,0.0015033080145911886,0.0,-0.003924752503623015,0.0054280605182142035,0.49999999999999994,-0.49999999999999994,0.9999999999999998,-0.23199265155607074,-0.2537096041398713,-0.26414005120564976
