strategy_id,ticker,provider_symbol,normalization_status,renamed_symbol,entry_eligible,operational_pricing_required,pricing_status,security_status,latest_price_date,exclusion_reason,affects
C3A1_013,SNPS,SNPS,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_013,USLM,USLM,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_013,VTOL,VTOL,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,ALRM,ALRM,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,ARW,ARW,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,BBSI,BBSI,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,BRK.A,BRK-A,dot_to_dash,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,CAPR,CAPR,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,CLYM,CLYM,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,CVLG,CVLG,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,ESAB,ESAB,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,GFS,GFS,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,GLBE,GLBE,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,HAYW,HAYW,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,HYT,HYT,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,IMSR,IMSR,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,LNTH,LNTH,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,MKSI,MKSI,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,OTF,OTF,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,PATH,PATH,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,RHLD,RHLD,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,SATL,SATL,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_015,WSR,WSR,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A2_008,ADSK,ADSK,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A2_008,ADT,ADT,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A2_008,BBY,BBY,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A2_008,BE,BE,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A2_008,CAPR,CAPR,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A2_008,CLYM,CLYM,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A2_008,CVSA,CVSA,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A2_008,EQH,EQH,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
