strategy_id,signal_date,rebalance_date,execution_date,ticker,action,previous_weight,target_weight,delta_weight,simulated_execution_price,turnover_contribution,estimated_transaction_cost,execution_convention,run_id,record_status
FUNDAMENTAL_MOMENTUM,2018-11-14,2018-11-14,2018-11-14,HD,SELL,0.05,0.0,-0.05,182.6100006103516,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-11-14,2018-11-14,2018-11-14,QCOM,BUY,0.0,0.05,0.05,54.84000015258789,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-12-14,2018-12-14,2018-12-14,SBUX,BUY,0.0,0.05,0.05,64.44000244140625,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-12-14,2018-12-14,2018-12-14,V,SELL,0.05,0.0,-0.05,135.69000244140625,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-02-13,2019-02-13,2019-02-13,AMZN,BUY,0.0,0.05,0.05,82.3499984741211,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-02-13,2019-02-13,2019-02-13,CMCSA,BUY,0.0,0.05,0.05,34.90159225463867,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-02-13,2019-02-13,2019-02-13,GOOGL,COVER,-0.05,0.0,0.05,56.652000427246094,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-02-13,2019-02-13,2019-02-13,LMT,SELL,0.05,0.0,-0.05,305.0,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-02-13,2019-02-13,2019-02-13,MCD,SELL,0.0,-0.05,-0.05,174.0,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-02-13,2019-02-13,2019-02-13,META,SELL,0.05,0.0,-0.05,165.3800048828125,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-02-13,2019-02-13,2019-02-13,MMM,COVER,-0.05,0.0,0.05,173.1521759033203,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2019-02-13,2019-02-13,2019-02-13,RTX,SELL,0.0,-0.05,-0.05,78.25676727294922,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
